sched_type,preemption_interval_us,throughput,proportion_long_jobs,num_short,num_long,short_0_pct,short_25_pct,short_50_pct,short_75_pct,short_90_pct,short_99_pct,short_99.9_pct,short_100_pct,long_0_pct,long_25_pct,long_50_pct,long_75_pct,long_90_pct,long_99_pct,long_99.9_pct,long_100_pct
dFCFS,0,30000,0,150000,0,1.138000,2.232000,2.799000,4.648000,7.769000,48.755040,5324.228035,10962.043000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,60000,0,300000,0,1.126000,2.264000,2.910000,4.608000,8.128000,205.185860,9774.433219,13601.044000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,90000,0,450000,0,1.125000,2.403000,3.087000,5.141000,8.448000,28.355000,199.356040,8369.533000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,120000,0,600000,0,1.114000,2.441000,3.231000,5.371000,9.036000,212.565680,9094.095004,14332.972000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,150000,0,750000,0,1.121000,2.476000,3.403000,5.655000,9.501000,52.170030,441.862148,15066.078000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,180000,0,900000,0,1.121000,2.546000,3.638000,6.057000,10.398000,52.887140,484.711083,12601.579000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,210000,0,1050000,0,1.117000,2.589000,3.803000,6.365000,11.098000,249.747830,6319.962049,10216.582000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,30000,0.01,148463,1537,1.126000,2.289000,2.880000,5.919000,18.187600,979.337460,8627.129840,14134.884000,1000.263000,1001.370000,1001.974000,1005.571000,1027.096400,2904.908240,9589.066376,15840.730000
dFCFS,0,60000,0.01,297028,2972,1.137000,2.387000,3.095000,7.482000,74.796500,1067.017440,5849.555924,11450.037000,1000.223000,1001.406000,1002.173000,1007.721750,1119.146900,2977.941600,8373.561855,34353.441000
dFCFS,0,90000,0.01,445410,4590,1.121000,2.583000,4.025000,27.379750,794.457200,1949.208370,8449.232430,14503.485000,1000.181000,1001.585000,1003.120500,1028.347750,1808.689500,3091.105700,9507.253214,17771.647000
