sched_type,preemption_interval_us,throughput,proportion_long_jobs,num_short,num_long,short_0_pct,short_25_pct,short_50_pct,short_75_pct,short_90_pct,short_99_pct,short_99.9_pct,short_100_pct,long_0_pct,long_25_pct,long_50_pct,long_75_pct,long_90_pct,long_99_pct,long_99.9_pct,long_100_pct
dFCFS,0,30000,0,150000,0,1.153000,2.156000,2.754000,4.784000,8.352000,35.350180,120.718227,7901.488000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,60000,0,300000,0,1.132000,2.346000,2.956000,4.943000,8.174000,35.841270,196.625043,10176.035000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,90000,0,450000,0,1.125000,2.360000,3.053000,5.066000,8.462000,42.972080,4337.576001,11381.199000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,120000,0,600000,0,1.114000,2.430000,3.254000,5.492000,9.377100,125.062580,672.540054,13195.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,150000,0,750000,0,1.120000,2.515000,3.547000,5.990000,10.440000,64.148350,517.695126,10273.194000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,180000,0,900000,0,1.118000,2.526000,3.530000,5.807000,9.527000,75.951260,7377.800690,14363.427000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,210000,0,1050000,0,1.108000,2.576000,3.724000,6.119000,10.079000,69.867030,456.294001,21801.068000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,30000,0.01,148480,1520,1.146000,2.240000,2.835000,5.961000,18.022300,935.410490,7847.675795,12614.198000,1000.203000,1001.314000,1001.918500,1005.462250,1021.912400,2123.129800,8815.611192,12081.068000
dFCFS,0,60000,0.01,297012,2988,1.135000,2.503000,3.439000,10.480000,116.203700,1209.302230,2750.522283,10359.237000,1000.203000,1001.521500,1002.619500,1010.845750,1148.933700,3044.571120,5436.881164,8919.971000
dFCFS,0,90000,0.01,445471,4529,1.116000,2.542000,3.646000,12.813500,394.167000,2060.871000,9048.708880,10768.753000,1000.192000,1001.563000,1002.758000,1013.224000,1657.817600,3363.368400,9956.889480,10332.648000
dFCFS,0,120000,0.01,594096,5904,1.125000,2.728000,4.693000,46.036000,989.365500,3062.571400,4682.501525,10943.787000,1000.179000,1001.730000,1003.976500,1059.974500,2004.626100,4221.047260,11924.425847,19082.197000
dFCFS,0,150000,0.01,742546,7454,1.110000,2.819000,4.988000,51.594500,988.953000,3740.911850,10882.856165,15077.235000,1000.153000,1001.822250,1004.114500,1078.856250,2051.028400,4915.493970,12937.043817,15310.911000
dFCFS,0,180000,0.01,890937,9063,1.119000,3.217000,7.086000,301.455000,1705.680000,4718.361720,6784.131768,15774.052000,1000.164000,1002.299000,1006.789000,1424.159000,2828.114200,5967.266240,8185.410022,22819.510000
dFCFS,0,210000,0.01,1039502,10498,1.123000,3.479000,8.036000,634.775750,1925.679400,5216.157100,7991.693493,18469.732000,1000.194000,1002.536250,1007.327500,1655.931250,2980.260600,6325.891850,10606.430319,18362.342000
dFCFS,0,30000,0.1,135096,14904,1.176000,2.537000,6.315000,1018.004750,3023.577500,8041.293550,14641.584715,15823.503000,1000.219000,1001.574000,1006.315500,2040.780000,4089.489600,9923.304450,16343.321457,28499.443000
dFCFS,0,60000,0.1,270015,29985,1.171000,743.226500,3970.083000,8495.074000,12490.899800,21167.526600,23661.521806,24748.179000,1000.214000,1728.319000,4976.089000,9563.397000,13733.696400,22748.767600,29713.131696,41172.825000
dFCFS,0,90000,0.1,405141,44859,1.316000,344029.189000,730499.509000,1116203.768000,1364474.425000,1504924.878400,1524241.038260,1527438.819000,1000.629000,352937.469500,741364.050000,1126523.550000,1369371.980600,1507434.593920,1525209.605378,1534057.167000
dFCFS,0,120000,0.1,539904,60096,1.852000,933993.402000,2491089.542000,3680902.186500,4317503.683300,5140821.889880,5221788.499970,5231986.400000,1000.661000,929868.376750,2486381.930500,3685612.463750,4318910.408500,5145377.569950,5222566.388090,5231081.622000
dFCFS,0,150000,0.1,674806,75194,1.476000,1650799.385750,3121954.148000,5027548.090250,5887556.668500,6442362.288750,6502138.715930,6509942.996000,1001.567000,1634596.823750,3113786.079500,5029015.851750,5905210.174100,6446133.394710,6503380.692982,6514237.995000
dFCFS,0,180000,0.1,810318,89682,1.254000,2002453.743000,4003296.712000,6926391.220250,8662589.329400,9396901.169080,9467308.740170,9476560.063000,1000.541000,2024065.527250,4031780.396500,7009822.050250,8672034.093800,9397335.588800,9468294.560176,9481487.919000
dFCFS,0,210000,0.1,945316,104684,1.530000,2566958.789750,5158131.620000,7733794.821250,30102266.836500,30551799.916800,30596738.069240,30601724.296000,1000.667000,2561826.263500,5149993.881500,7722773.743250,30097647.096800,30551466.549420,30596825.339737,30601723.824000
dFCFS,0,30000,0.5,74762,75238,1.698000,1450404.095750,2904081.512000,4368966.776000,5211392.161700,5725172.201590,5782153.782974,5789044.229000,1001.234000,1445725.634500,2893235.811500,4359025.610500,5214228.674600,5731271.343530,5784112.147953,5793263.153000
dFCFS,0,60000,0.5,150296,149704,1.426000,4118683.193500,8266600.463500,30393483.527000,31142116.877500,31590269.733100,31635713.159445,31641010.918000,1000.644000,4124084.183750,8240423.305000,30382397.708000,31139950.134800,31591947.999440,31636350.191370,31641010.811000
cFCFS,500,30000,0,150000,0,1.153000,2.105000,2.705000,3.389000,5.311000,16.540100,135.083434,3726.996000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cFCFS,500,60000,0,300000,0,1.127000,2.341000,2.915000,4.291000,6.552000,27.673050,192.964081,2238.859000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cFCFS,500,90000,0,450000,0,1.113000,2.441000,3.167000,5.035000,7.954000,93.665080,422.901034,6863.767000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cFCFS,500,120000,0,600000,0,1.148000,2.572000,3.592000,5.910000,9.933000,106.878210,396.542288,7835.889000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cFCFS,500,150000,0,750000,0,1.110000,2.626000,3.713000,5.952000,9.711000,61.583010,691.304103,5196.105000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cFCFS,500,180000,0,900000,0,1.117000,2.619000,3.829000,6.267000,10.283000,99.692270,3594.426351,8794.441000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cFCFS,500,210000,0,1050000,0,1.119000,2.743000,4.187000,6.963000,11.374000,69.164080,8509.408951,12625.844000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cFCFS,500,30000,0.01,148522,1478,1.142000,2.189000,2.753000,3.715000,5.720000,40.976790,1124.458452,2916.593000,1000.268000,1001.435750,1002.125000,1005.390500,1022.406000,1202.923590,1926.330885,2116.250000
cFCFS,500,60000,0.01,297058,2942,1.128000,2.430000,3.082000,4.990000,8.495000,220.876640,5065.283575,6538.106000,1000.180000,1001.592250,1002.757000,1008.386500,1027.455100,1932.920980,6133.078176,6509.310000
cFCFS,500,90000,0.01,445612,4388,1.134000,2.611000,3.677000,6.298000,11.087000,73.110150,1370.291695,15066.769000,1000.214000,1001.807750,1003.798500,1011.322500,1029.364300,1542.012430,2924.891371,4433.200000
cFCFS,500,120000,0.01,594032,5968,1.122000,2.814000,4.568000,8.748000,16.577000,284.643460,1048.957385,3282.847000,1000.187000,1002.150000,1005.163500,1016.491500,1041.291300,1554.296830,2378.849806,15429.992000
cFCFS,500,150000,0.01,742405,7595,1.131000,2.965000,5.182000,10.688000,22.083000,327.143720,1425.812220,7860.896000,1000.172000,1002.535000,1006.441000,1020.375000,1053.072800,1693.192140,2969.014930,7847.511000
cFCFS,500,180000,0.01,891037,8963,1.119000,3.612000,7.115000,15.873000,33.331000,424.948080,4159.971992,6236.670000,1000.188000,1003.595500,1010.015000,1028.945500,1079.106800,1782.071140,5913.498214,12574.410000
cFCFS,500,210000,0.01,1039502,10498,1.115000,3.868000,7.793000,18.390000,40.330000,392.040860,972.410325,7525.391000,1000.188000,1003.777500,1011.103000,1034.435250,1103.765700,1689.011150,3377.243866,7190.327000
cFCFS,500,30000,0.1,134997,15003,1.137000,2.655000,4.351000,9.704000,22.489400,1470.746720,5007.133972,5994.373000,1000.212000,1001.932000,1006.313000,1025.715000,1161.229600,2679.292380,6037.701164,15046.014000
cFCFS,500,60000,0.1,269818,30182,1.150000,12.806000,188.137000,820.900250,1287.915300,4318.715670,9536.098510,16898.043000,1000.233000,1025.258250,1393.625000,1958.593750,2437.692300,5986.161650,10719.673909,22968.457000
cFCFS,500,90000,0.1,404823,45177,1.243000,156581.302000,290297.700000,409923.103500,483380.120800,542679.213340,547528.369712,548807.603000,1000.503000,156665.270000,291247.875000,410633.349000,484359.670000,543582.301320,548739.846624,562978.645000
