sched_type,preemption_interval_us,throughput,proportion_long_jobs,num_short,num_long,short_0_pct,short_25_pct,short_50_pct,short_75_pct,short_90_pct,short_99_pct,short_99.9_pct,short_100_pct,long_0_pct,long_25_pct,long_50_pct,long_75_pct,long_90_pct,long_99_pct,long_99.9_pct,long_100_pct
dFCFS,0,30000,0,150000,0,1.136000,2.201000,2.781000,4.919000,8.511000,57.729150,6482.720804,21259.924000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,60000,0,300000,0,1.127000,2.323000,2.917000,4.852000,8.093000,52.880040,5860.174207,14236.083000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,90000,0,450000,0,1.137000,2.360000,3.037000,4.966000,8.402000,50.642410,10264.486054,11438.003000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,120000,0,600000,0,1.114000,2.466000,3.287000,5.474000,9.100000,84.027160,575.822106,14337.258000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,150000,0,750000,0,1.107000,2.455000,3.364000,5.558000,9.254000,45.788010,649.830099,13474.814000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,180000,0,900000,0,1.116000,2.561000,3.640000,5.997000,9.825100,68.213180,2898.917287,14082.719000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,210000,0,1050000,0,1.126000,2.563000,3.703000,6.072000,10.323000,174.341870,12046.489301,15955.560000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dFCFS,0,30000,0.01,148442,1558,1.147000,2.316000,2.902000,6.174000,18.930100,905.042570,2048.451167,15438.400000,1000.245000,1001.372250,1001.999500,1005.754500,1026.366900,2050.679760,3214.950391,3468.239000
dFCFS,0,60000,0.01,296985,3015,1.134000,2.471000,3.316000,9.336000,132.251600,1317.810360,4864.046288,16664.579000,1000.181000,1001.531500,1002.491000,1010.308500,1162.146800,2950.547620,5903.270080,11359.927000
dFCFS,0,90000,0.01,445476,4524,1.132000,2.615000,4.035000,21.123000,811.035500,2779.975500,7472.106050,21646.273000,1000.223000,1001.632000,1003.152500,1025.999500,1851.401500,3852.406260,8490.926401,10008.568000
dFCFS,0,120000,0.01,593965,6035,1.134000,2.722000,4.800000,56.668000,1043.210800,4682.856080,10833.840684,26667.123000,1000.201000,1001.760500,1004.191000,1100.717500,2199.944600,6097.015180,12000.034664,16929.857000
dFCFS,0,150000,0.01,742460,7540,1.134000,2.989000,6.262000,372.000250,1704.812300,4726.829550,12248.100067,19184.963000,1000.197000,1001.995750,1005.295000,1411.060750,2764.471100,5854.074180,13273.317892,14377.277000
dFCFS,0,180000,0.01,891078,8922,1.116000,3.380000,8.124000,663.013750,1858.563400,4682.143260,6682.475290,11397.145000,1000.195000,1002.448750,1007.634000,1649.325250,2863.491800,5887.046040,8322.335881,14781.827000
dFCFS,0,210000,0.01,1039332,10668,1.121000,4.054000,15.234000,997.581000,2542.068600,6544.444510,15427.606898,31550.405000,1000.188000,1003.169750,1017.102500,2020.903500,3568.799600,8704.671140,16045.865982,27484.999000
dFCFS,0,30000,0.1,135192,14808,1.170000,2.575000,6.506000,1004.924000,2979.457700,6787.788460,12250.782645,14092.861000,1000.225000,1001.627750,1006.941000,2019.789750,3987.590000,8174.974920,14294.051721,36327.355000
dFCFS,0,60000,0.1,270197,29803,1.155000,1804.706000,5248.516000,10155.304000,13352.929000,20804.093080,25966.492704,27092.319000,1000.245000,2881.677500,6323.073000,11243.323000,14443.591200,23155.105440,30390.437958,43560.029000
dFCFS,0,90000,0.1,404845,45155,1.705000,377399.041000,997498.096000,1519404.524000,1769184.592000,1887986.871360,1906580.688440,1908872.648000,1000.396000,382757.713500,1011697.906000,1520494.731000,1767190.769200,1890410.328480,1907766.126660,1913823.445000
dFCFS,0,120000,0.1,540281,59719,1.342000,906581.793000,1809386.601000,3189073.107000,3576056.723000,4079716.537000,4158152.993160,4167273.758000,1000.336000,909670.937000,1865234.387000,3190061.621500,3577151.717400,4081170.654460,4158201.989384,4166353.581000
dFCFS,0,150000,0.1,674668,75332,1.341000,1488043.623750,3063279.142000,4562001.407750,5440935.325500,5972514.909120,6019901.792324,6028325.432000,1000.562000,1489984.602750,3060466.065500,4555013.252500,5444370.741700,5975091.822640,6021456.499382,6034507.161000
dFCFS,0,180000,0.1,810337,89663,1.539000,2017150.487000,4169672.746000,6137677.489000,7528540.916600,8235616.216280,8313803.928656,8323131.186000,1001.610000,2006856.791500,4146415.623000,6139462.617500,7525763.161400,8241121.628980,8314842.321156,8326638.356000
dFCFS,0,210000,0.1,945519,104481,1.751000,2539219.832000,5237185.595000,7861821.680000,9524031.181200,30111418.009600,30168395.664574,30173391.437000,1000.957000,2546566.439000,5248668.565000,7863311.723000,9523861.161000,30124175.903800,30168496.847760,30173390.238000
dFCFS,0,30000,0.5,74725,75275,2.044000,1435291.081000,2876930.929000,4318816.276000,5223267.841200,5737245.997440,5791922.801360,5798651.264000,1001.623000,1437759.355000,2888266.619000,4346478.005500,5222209.929000,5740885.533980,5793874.295374,5804204.989000
dFCFS,0,60000,0.5,150028,149972,2.918000,4131098.248750,8328825.848500,30355804.488500,31101157.596600,31549249.772230,31595199.822691,31600250.730000,1000.776000,4135947.184500,8299545.839000,30344754.235500,31099137.741600,31551271.116140,31595333.054109,31600250.907000
cFCFS,500,30000,0,150000,0,1.146000,2.107000,2.702000,3.300000,5.011000,10.178010,59.421012,1614.254000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cFCFS,500,60000,0,300000,0,1.127000,2.335000,2.892000,4.109250,6.003000,13.368010,55.362014,2377.892000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cFCFS,500,90000,0,450000,0,1.128000,2.469000,3.169000,4.927000,7.476000,29.827050,213.191036,5230.603000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cFCFS,500,120000,0,600000,0,1.119000,2.477000,3.305000,5.266000,8.299000,40.513080,308.009114,2051.181000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cFCFS,500,150000,0,750000,0,1.124000,2.636000,3.733000,6.102000,10.204000,218.349160,768.555125,16420.367000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cFCFS,500,180000,0,900000,0,1.126000,2.678000,4.029000,6.699000,10.896100,53.788310,644.424054,5720.693000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
