sched_type,preemption_interval_us,throughput,proportion_long_jobs,num_short,num_long,short_0_pct,short_25_pct,short_50_pct,short_75_pct,short_90_pct,short_99_pct,short_99.9_pct,short_100_pct,long_0_pct,long_25_pct,long_50_pct,long_75_pct,long_90_pct,long_99_pct,long_99.9_pct,long_100_pct
cFCFS,500,30000,0,150000,0,1.136000,2.162000,2.725000,3.364000,5.187000,12.396000,91.352087,1928.686000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cFCFS,500,60000,0,300000,0,1.125000,2.282000,2.868000,4.095000,6.214000,48.703090,292.758294,2161.936000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cFCFS,500,90000,0,450000,0,1.129000,2.476000,3.202000,5.047000,7.853100,90.469060,3025.779141,5833.289000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cFCFS,500,120000,0,600000,0,1.121000,2.551000,3.450000,5.509000,8.849000,71.855080,1966.062876,7840.512000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cFCFS,500,150000,0,750000,0,1.119000,2.674000,3.865000,6.251000,10.194000,54.226080,1723.884919,4330.809000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cFCFS,500,180000,0,900000,0,1.131000,2.692000,3.995000,6.608000,10.847000,61.130180,616.090057,7433.780000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cFCFS,500,210000,0,1050000,0,1.111000,2.715000,4.139000,6.834000,11.155000,47.912010,2096.931362,10187.233000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cFCFS,500,30000,0.01,148532,1468,1.134000,2.203750,2.777000,3.670000,5.638000,16.236830,142.981326,1083.938000,1000.261000,1001.419750,1002.070500,1005.647000,1020.960700,1218.660450,1592.332365,16616.290000
cFCFS,500,60000,0.01,297090,2910,1.105000,2.438000,3.088500,4.977000,8.023000,34.181000,329.723248,1986.551000,1000.239000,1001.605250,1002.908000,1008.132250,1024.415600,1272.681780,1921.582830,2729.973000
cFCFS,500,90000,0.01,445377,4623,1.110000,2.633000,3.795000,6.788000,12.597000,146.550360,1450.353360,2505.001000,1000.177000,1001.904500,1004.231000,1012.536500,1032.293800,1574.947800,2475.778380,3271.648000
cFCFS,500,120000,0.01,593966,6034,1.120000,2.771000,4.355000,8.212000,15.659000,116.496000,1251.856170,5915.404000,1000.194000,1002.066250,1005.011000,1015.008750,1036.521700,1511.837360,2485.127973,7033.691000
cFCFS,500,150000,0.01,742551,7449,1.110000,2.854000,4.820000,9.578000,18.547000,108.607000,1289.332700,6132.811000,1000.190000,1002.279000,1005.767000,1017.541000,1046.498200,1523.253040,2786.535096,10387.475000
cFCFS,500,180000,0.01,890960,9040,1.131000,3.356000,6.328000,14.246000,33.024100,736.115890,2557.478287,11064.914000,1000.179000,1003.084000,1008.473000,1026.799750,1083.127800,2162.309720,4163.629839,11879.125000
cFCFS,500,210000,0.01,1039687,10313,1.120000,4.088000,8.545000,21.353000,52.730000,1010.663000,3190.266892,4577.539000,1000.207000,1004.170000,1012.217000,1040.935000,1153.227400,2532.561160,5179.013936,8563.792000
cFCFS,500,30000,0.1,135056,14944,1.138000,2.664000,4.348000,9.371000,20.695000,901.947900,4076.191610,5506.371000,1000.198000,1001.932750,1006.121000,1024.757250,1115.672000,2046.298910,5556.939401,9403.706000
cFCFS,500,60000,0.1,270061,29939,1.143000,10.095000,118.332000,678.960000,1278.071000,4601.461400,8241.059040,9613.089000,1000.196000,1020.514000,1336.662000,1899.480000,2447.377000,6201.690440,9863.137238,29174.910000
cFCFS,500,90000,0.1,405097,44903,1.212000,122824.106000,238975.877000,352102.329000,425088.699000,470029.507000,476805.337000,477763.997000,1000.412000,124241.596500,239116.552000,352779.493500,426467.014800,471474.676860,477935.058170,487971.266000
cFCFS,500,120000,0.1,540589,59411,1.257000,587527.590000,1148039.390000,1691951.889000,2044495.348400,2248093.076200,2269582.736120,2276401.696000,1000.374000,587584.713500,1146681.222000,1694849.804500,2045575.617000,2249759.575600,2270691.432790,2278782.572000
cFCFS,500,150000,0.1,675165,74835,1.259000,988438.311000,2004374.678000,3063399.013000,3706875.786400,4092701.738840,4141016.895800,4150829.766000,1000.438000,1001259.378000,2013094.836000,3067467.303000,3713129.381600,4095097.039720,4142794.978242,4149772.003000
