/usr/bin/sudo bazel-bin/fifo_per_cpu_agent --ghost_cpus 0-7 
Orca listening on port 8000...
Initializing...
Initialization complete, ghOSt active.
Received SetScheduler. type=1, preemption_interval_us=500
killing child process (pid=13917) ...
child (pid=13917) exited with status 0
/usr/bin/sudo bazel-bin/fifo_centralized_agent --ghost_cpus 0-7 --preemption_time_slice 500us 
Core map
(  0 )	(  1 )	(  2 )	(  3 )	(  4 )	(  5 )	(  6 )	(  7 )

Initializing...
Initialization complete, ghOSt active.
Received Metric. gtid=30674175391708804, created_at_us=1701667635283620, block_time_us=8912, runnable_time_us=4674, queued_time_us=67079, on_cpu_time_us=65884, yielding_time_us=57, died_at_us=0, preempt_count=0
Received Metric. gtid=30689568554497675, created_at_us=1701667635284991, block_time_us=8788, runnable_time_us=11304, queued_time_us=71495, on_cpu_time_us=53808, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30665379298686592, created_at_us=1701667635282930, block_time_us=12450, runnable_time_us=5238, queued_time_us=71285, on_cpu_time_us=58350, yielding_time_us=43, died_at_us=0, preempt_count=0
Received Metric. gtid=30682971484731016, created_at_us=1701667635284118, block_time_us=9431, runnable_time_us=2516, queued_time_us=68681, on_cpu_time_us=65367, yielding_time_us=238, died_at_us=0, preempt_count=0
Received Metric. gtid=30671976368453251, created_at_us=1701667635283354, block_time_us=6970, runnable_time_us=8999, queued_time_us=62265, on_cpu_time_us=68442, yielding_time_us=219, died_at_us=0, preempt_count=0
Received Metric. gtid=30667578321942145, created_at_us=1701667635283044, block_time_us=9860, runnable_time_us=4701, queued_time_us=89333, on_cpu_time_us=42938, yielding_time_us=349, died_at_us=0, preempt_count=0
Received Metric. gtid=30676374414964357, created_at_us=1701667635283698, block_time_us=10043, runnable_time_us=2220, queued_time_us=77086, on_cpu_time_us=54526, yielding_time_us=2655, died_at_us=0, preempt_count=0
Received Metric. gtid=30680772461475463, created_at_us=1701667635284011, block_time_us=12619, runnable_time_us=3932, queued_time_us=64226, on_cpu_time_us=65107, yielding_time_us=332, died_at_us=0, preempt_count=0
Received Metric. gtid=30678573438219910, created_at_us=1701667635283876, block_time_us=16184, runnable_time_us=4796, queued_time_us=76312, on_cpu_time_us=49132, yielding_time_us=92, died_at_us=0, preempt_count=0
Received Metric. gtid=30669777345197698, created_at_us=1701667635283229, block_time_us=11896, runnable_time_us=16182, queued_time_us=55513, on_cpu_time_us=63380, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30693966601008781, created_at_us=1701667635285332, block_time_us=7847, runnable_time_us=1467, queued_time_us=80763, on_cpu_time_us=54768, yielding_time_us=165, died_at_us=0, preempt_count=0
Received Metric. gtid=30687369531242122, created_at_us=1701667635284803, block_time_us=11970, runnable_time_us=2710, queued_time_us=87308, on_cpu_time_us=43205, yielding_time_us=215, died_at_us=0, preempt_count=0
Received Metric. gtid=30663180275431039, created_at_us=1701667635282830, block_time_us=12881, runnable_time_us=5425, queued_time_us=75807, on_cpu_time_us=52831, yielding_time_us=166, died_at_us=0, preempt_count=0
Received Metric. gtid=30685170507986569, created_at_us=1701667635284192, block_time_us=7488, runnable_time_us=1932, queued_time_us=66420, on_cpu_time_us=69972, yielding_time_us=222, died_at_us=0, preempt_count=0
Received Metric. gtid=30691767577753228, created_at_us=1701667635285097, block_time_us=6673, runnable_time_us=4472, queued_time_us=78728, on_cpu_time_us=50596, yielding_time_us=4642, died_at_us=0, preempt_count=0
