/usr/bin/sudo bazel-bin/fifo_per_cpu_agent --ghost_cpus 0-7 
Orca listening on port 8000...
Initializing...
Initialization complete, ghOSt active.
Received SetScheduler. type=1, preemption_interval_us=-1
killing child process (pid=27479) ...
child (pid=27479) exited with status 0
/usr/bin/sudo bazel-bin/fifo_centralized_agent --ghost_cpus 0-7 
Core map
(  0 )	(  1 )	(  2 )	(  3 )	(  4 )	(  5 )	(  6 )	(  7 )

Initializing...
Initialization complete, ghOSt active.
Received Metric. gtid=60490731713751931, created_at_us=1701750439959805, block_time_us=38, runnable_time_us=46, queued_time_us=2, on_cpu_time_us=28028, yielding_time_us=1, died_at_us=0, preempt_count=2
Received Metric. gtid=60488532690496378, created_at_us=1701750439959667, block_time_us=93, runnable_time_us=109, queued_time_us=4, on_cpu_time_us=28035, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=60490731713751931, created_at_us=1701750439959805, block_time_us=887, runnable_time_us=870, queued_time_us=70, on_cpu_time_us=270391, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=60488532690496378, created_at_us=1701750439959667, block_time_us=703, runnable_time_us=715, queued_time_us=48, on_cpu_time_us=267526, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=60490731713751931, created_at_us=1701750439959805, block_time_us=1522, runnable_time_us=1644, queued_time_us=126, on_cpu_time_us=724730, yielding_time_us=0, died_at_us=0, preempt_count=2
Received Metric. gtid=60488532690496378, created_at_us=1701750439959667, block_time_us=1725, runnable_time_us=1818, queued_time_us=120, on_cpu_time_us=727633, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=60490731713751931, created_at_us=1701750439959805, block_time_us=472, runnable_time_us=384, queued_time_us=26, on_cpu_time_us=282861, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=60488532690496378, created_at_us=1701750439959667, block_time_us=504, runnable_time_us=395, queued_time_us=19, on_cpu_time_us=287041, yielding_time_us=0, died_at_us=0, preempt_count=3
Received Metric. gtid=60490731713751931, created_at_us=1701750439959805, block_time_us=1952, runnable_time_us=1457, queued_time_us=99, on_cpu_time_us=709480, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=60488532690496378, created_at_us=1701750439959667, block_time_us=1727, runnable_time_us=1617, queued_time_us=104, on_cpu_time_us=704553, yielding_time_us=0, died_at_us=0, preempt_count=3
Received Metric. gtid=60490731713751931, created_at_us=1701750439959805, block_time_us=2360, runnable_time_us=2044, queued_time_us=136, on_cpu_time_us=988459, yielding_time_us=0, died_at_us=0, preempt_count=2
Received Metric. gtid=60488532690496378, created_at_us=1701750439959667, block_time_us=2018, runnable_time_us=2010, queued_time_us=133, on_cpu_time_us=995810, yielding_time_us=0, died_at_us=0, preempt_count=3
Received Metric. gtid=60490731713751931, created_at_us=1701750439959805, block_time_us=506, runnable_time_us=528, queued_time_us=27, on_cpu_time_us=280931, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=60488532690496378, created_at_us=1701750439959667, block_time_us=567, runnable_time_us=555, queued_time_us=39, on_cpu_time_us=274858, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=60490731713751931, created_at_us=1701750439959805, block_time_us=2026, runnable_time_us=1708, queued_time_us=124, on_cpu_time_us=724389, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=60488532690496378, created_at_us=1701750439959667, block_time_us=1475, runnable_time_us=1369, queued_time_us=96, on_cpu_time_us=723800, yielding_time_us=0, died_at_us=0, preempt_count=2
Received Metric. gtid=60490731713751931, created_at_us=1701750439959805, block_time_us=3417, runnable_time_us=3067, queued_time_us=146, on_cpu_time_us=993370, yielding_time_us=0, died_at_us=0, preempt_count=3
