/usr/bin/sudo bazel-bin/fifo_per_cpu_agent --ghost_cpus 0-7 
Orca listening on port 8000...
Initializing...
Initialization complete, ghOSt active.
Received Metric. gtid=30357516042909172, created_at_us=1701667510511944, block_time_us=195245, runnable_time_us=898517, queued_time_us=873247, on_cpu_time_us=34190, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30361914089420278, created_at_us=1701667510518378, block_time_us=285789, runnable_time_us=1363529, queued_time_us=1306945, on_cpu_time_us=38612, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30372909205698043, created_at_us=1701667510538700, block_time_us=394454, runnable_time_us=1304732, queued_time_us=1235654, on_cpu_time_us=40273, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30364113112675831, created_at_us=1701667510534973, block_time_us=256379, runnable_time_us=1317184, queued_time_us=1363402, on_cpu_time_us=41898, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30348719949886960, created_at_us=1701667510511449, block_time_us=405465, runnable_time_us=1291750, queued_time_us=1257867, on_cpu_time_us=47270, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30366312135931384, created_at_us=1701667510535183, block_time_us=437756, runnable_time_us=1290233, queued_time_us=1208896, on_cpu_time_us=41638, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30375108228953596, created_at_us=1701667510538798, block_time_us=311556, runnable_time_us=1309339, queued_time_us=1322441, on_cpu_time_us=31663, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30379506275464702, created_at_us=1701667510538997, block_time_us=314597, runnable_time_us=1309958, queued_time_us=1317754, on_cpu_time_us=32238, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30353117996398066, created_at_us=1701667510511698, block_time_us=374923, runnable_time_us=1319503, queued_time_us=1261441, on_cpu_time_us=45628, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30377307252209149, created_at_us=1701667510538886, block_time_us=336803, runnable_time_us=1315643, queued_time_us=1288213, on_cpu_time_us=34263, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30368511159186937, created_at_us=1701667510535708, block_time_us=358715, runnable_time_us=1209138, queued_time_us=1354034, on_cpu_time_us=56177, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30346520926631407, created_at_us=1701667510511337, block_time_us=261989, runnable_time_us=1347184, queued_time_us=1348240, on_cpu_time_us=44821, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30370710182442490, created_at_us=1701667510535783, block_time_us=395086, runnable_time_us=1342179, queued_time_us=1196942, on_cpu_time_us=43767, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30350918973142513, created_at_us=1701667510511632, block_time_us=326679, runnable_time_us=1334341, queued_time_us=1286239, on_cpu_time_us=54885, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30355317019653619, created_at_us=1701667510511807, block_time_us=393954, runnable_time_us=1320525, queued_time_us=1256676, on_cpu_time_us=30862, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30359715066164725, created_at_us=1701667510518246, block_time_us=274665, runnable_time_us=1347008, queued_time_us=1336122, on_cpu_time_us=37760, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=30357516042909172, created_at_us=1701667510511944, block_time_us=347982, runnable_time_us=1281976, queued_time_us=1324518, on_cpu_time_us=47388, yielding_time_us=0, died_at_us=0, preempt_count=0
Exiting Orca...
killing child process (pid=13787) ...
child (pid=13787) exited with status 0
