/usr/bin/sudo bazel-bin/fifo_per_cpu_agent --ghost_cpus 0-7 
Orca listening on port 8000...
Initializing...
Initialization complete, ghOSt active.
Received SetScheduler. type=1, preemption_interval_us=-1
killing child process (pid=1595) ...
child (pid=1595) exited with status 0
/usr/bin/sudo bazel-bin/fifo_centralized_agent --ghost_cpus 0-7 
Core map
(  0 )	(  1 )	(  2 )	(  3 )	(  4 )	(  5 )	(  6 )	(  7 )

Initializing...
Initialization complete, ghOSt active.
Received Metric. gtid=3569014743762526, created_at_us=1702077738995532, block_time_us=41, runnable_time_us=35, queued_time_us=1, on_cpu_time_us=454, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3571213767018079, created_at_us=1702077738995633, block_time_us=9, runnable_time_us=14, queued_time_us=1, on_cpu_time_us=280, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3573412790273632, created_at_us=1702077738995746, block_time_us=0, runnable_time_us=23, queued_time_us=1, on_cpu_time_us=328, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=3569014743762526, created_at_us=1702077738995532, block_time_us=4, runnable_time_us=40, queued_time_us=1, on_cpu_time_us=455954, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=3571213767018079, created_at_us=1702077738995633, block_time_us=7, runnable_time_us=56, queued_time_us=4, on_cpu_time_us=496061, yielding_time_us=0, died_at_us=0, preempt_count=3
Received Metric. gtid=3573412790273632, created_at_us=1702077738995746, block_time_us=2, runnable_time_us=26, queued_time_us=0, on_cpu_time_us=251944, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=3569014743762526, created_at_us=1702077738995532, block_time_us=6, runnable_time_us=76, queued_time_us=2, on_cpu_time_us=487831, yielding_time_us=0, died_at_us=0, preempt_count=3
Received Metric. gtid=3571213767018079, created_at_us=1702077738995633, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3573412790273632, created_at_us=1702077738995746, block_time_us=5, runnable_time_us=17, queued_time_us=0, on_cpu_time_us=361734, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=3569014743762526, created_at_us=1702077738995532, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3571213767018079, created_at_us=1702077738995633, block_time_us=0, runnable_time_us=11, queued_time_us=1, on_cpu_time_us=684007, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=3573412790273632, created_at_us=1702077738995746, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3569014743762526, created_at_us=1702077738995532, block_time_us=2, runnable_time_us=48, queued_time_us=2, on_cpu_time_us=556048, yielding_time_us=0, died_at_us=0, preempt_count=3
Received Metric. gtid=3571213767018079, created_at_us=1702077738995633, block_time_us=0, runnable_time_us=24, queued_time_us=1, on_cpu_time_us=99958, yielding_time_us=0, died_at_us=0, preempt_count=2
Received Metric. gtid=3573412790273632, created_at_us=1702077738995746, block_time_us=3, runnable_time_us=57, queued_time_us=4, on_cpu_time_us=766170, yielding_time_us=0, died_at_us=0, preempt_count=4
Received Metric. gtid=3569014743762526, created_at_us=1702077738995532, block_time_us=2, runnable_time_us=10, queued_time_us=0, on_cpu_time_us=60303, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3571213767018079, created_at_us=1702077738995633, block_time_us=0, runnable_time_us=8, queued_time_us=0, on_cpu_time_us=663925, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=3573412790273632, created_at_us=1702077738995746, block_time_us=1, runnable_time_us=12, queued_time_us=0, on_cpu_time_us=512000, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3571213767018079, created_at_us=1702077738995633, block_time_us=137, runnable_time_us=158, queued_time_us=16, on_cpu_time_us=155910, yielding_time_us=0, died_at_us=1702077741096233, preempt_count=0
Received Metric. gtid=3573412790273632, created_at_us=1702077738995746, block_time_us=48, runnable_time_us=56, queued_time_us=4, on_cpu_time_us=208042, yielding_time_us=0, died_at_us=1702077741096235, preempt_count=0
Received Metric. gtid=3569014743762526, created_at_us=1702077738995532, block_time_us=243, runnable_time_us=301, queued_time_us=32, on_cpu_time_us=539256, yielding_time_us=0, died_at_us=1702077741096236, preempt_count=0
