/usr/bin/sudo bazel-bin/fifo_per_cpu_agent --ghost_cpus 0-7 
Orca listening on port 8000...
Initializing...
Initialization complete, ghOSt active.
Received SetScheduler. type=1, preemption_interval_us=-1
killing child process (pid=1839) ...
child (pid=1839) exited with status 0
/usr/bin/sudo bazel-bin/fifo_centralized_agent --ghost_cpus 0-7 
Core map
(  0 )	(  1 )	(  2 )	(  3 )	(  4 )	(  5 )	(  6 )	(  7 )

Initializing...
Initialization complete, ghOSt active.
Received Metric. gtid=4107775441373011, created_at_us=1702077922473422, block_time_us=0, runnable_time_us=30, queued_time_us=1, on_cpu_time_us=170630, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=4109974464628564, created_at_us=1702077922473562, block_time_us=0, runnable_time_us=9, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=4105576418117458, created_at_us=1702077922473293, block_time_us=3, runnable_time_us=23, queued_time_us=0, on_cpu_time_us=239114, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=4107775441373011, created_at_us=1702077922473422, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=4109974464628564, created_at_us=1702077922473562, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=4105576418117458, created_at_us=1702077922473293, block_time_us=0, runnable_time_us=9, queued_time_us=0, on_cpu_time_us=151647, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=4107775441373011, created_at_us=1702077922473422, block_time_us=3, runnable_time_us=18, queued_time_us=1, on_cpu_time_us=603986, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=4109974464628564, created_at_us=1702077922473562, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=4105576418117458, created_at_us=1702077922473293, block_time_us=15, runnable_time_us=24, queued_time_us=1, on_cpu_time_us=384507, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=4107775441373011, created_at_us=1702077922473422, block_time_us=2, runnable_time_us=7, queued_time_us=0, on_cpu_time_us=254513, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=4109974464628564, created_at_us=1702077922473562, block_time_us=0, runnable_time_us=19, queued_time_us=0, on_cpu_time_us=1066480, yielding_time_us=0, died_at_us=0, preempt_count=2
