/usr/bin/sudo bazel-bin/fifo_per_cpu_agent --ghost_cpus 0-7 
Orca listening on port 8000...
Initializing...
Initialization complete, ghOSt active.
Received SetScheduler. type=1, preemption_interval_us=-1
killing child process (pid=26144) ...
child (pid=26144) exited with status 0
/usr/bin/sudo bazel-bin/fifo_centralized_agent --ghost_cpus 0-7 
Core map
(  0 )	(  1 )	(  2 )	(  3 )	(  4 )	(  5 )	(  6 )	(  7 )

Initializing...
Initialization complete, ghOSt active.
Received Metric. gtid=57561632737355335, created_at_us=1702071373881513, block_time_us=1, runnable_time_us=40, queued_time_us=1, on_cpu_time_us=217395, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=57563831760610888, created_at_us=1702071373881644, block_time_us=0, runnable_time_us=8, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57561632737355335, created_at_us=1702071373881513, block_time_us=0, runnable_time_us=25, queued_time_us=1, on_cpu_time_us=416012, yielding_time_us=0, died_at_us=0, preempt_count=2
Received Metric. gtid=57563831760610888, created_at_us=1702071373881644, block_time_us=0, runnable_time_us=12, queued_time_us=0, on_cpu_time_us=633326, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=57561632737355335, created_at_us=1702071373881513, block_time_us=0, runnable_time_us=10, queued_time_us=0, on_cpu_time_us=239933, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=57563831760610888, created_at_us=1702071373881644, block_time_us=0, runnable_time_us=23, queued_time_us=0, on_cpu_time_us=251927, yielding_time_us=1, died_at_us=0, preempt_count=2
Received Metric. gtid=57561632737355335, created_at_us=1702071373881513, block_time_us=0, runnable_time_us=9, queued_time_us=0, on_cpu_time_us=751986, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=57563831760610888, created_at_us=1702071373881644, block_time_us=0, runnable_time_us=37, queued_time_us=0, on_cpu_time_us=711934, yielding_time_us=0, died_at_us=0, preempt_count=2
Received Metric. gtid=57561632737355335, created_at_us=1702071373881513, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57563831760610888, created_at_us=1702071373881644, block_time_us=0, runnable_time_us=18, queued_time_us=1, on_cpu_time_us=60008, yielding_time_us=0, died_at_us=0, preempt_count=2
Received Metric. gtid=57561632737355335, created_at_us=1702071373881513, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57563831760610888, created_at_us=1702071373881644, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57561632737355335, created_at_us=1702071373881513, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57563831760610888, created_at_us=1702071373881644, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57561632737355335, created_at_us=1702071373881513, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57563831760610888, created_at_us=1702071373881644, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57563831760610888, created_at_us=1702071373881644, block_time_us=28, runnable_time_us=23, queued_time_us=0, on_cpu_time_us=1462038, yielding_time_us=0, died_at_us=1702071377001039, preempt_count=0
Received Metric. gtid=57561632737355335, created_at_us=1702071373881513, block_time_us=13, runnable_time_us=26, queued_time_us=0, on_cpu_time_us=1494068, yielding_time_us=0, died_at_us=1702071377001042, preempt_count=1
