/usr/bin/sudo bazel-bin/fifo_per_cpu_agent --ghost_cpus 0-7 
Orca listening on port 8000...
Initializing...
Initialization complete, ghOSt active.
Received Metric. gtid=2667415208985796, created_at_us=1702076154144403, block_time_us=102, runnable_time_us=504563, queued_time_us=114, on_cpu_time_us=104, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=2665216185730243, created_at_us=1702076154144277, block_time_us=151, runnable_time_us=504359, queued_time_us=182, on_cpu_time_us=117, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=2663017162474690, created_at_us=1702076154144169, block_time_us=98, runnable_time_us=504778, queued_time_us=114, on_cpu_time_us=132, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=2667415208985796, created_at_us=1702076154144403, block_time_us=103, runnable_time_us=505967, queued_time_us=86, on_cpu_time_us=128, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=2665216185730243, created_at_us=1702076154144277, block_time_us=193, runnable_time_us=506544, queued_time_us=111, on_cpu_time_us=127, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=2663017162474690, created_at_us=1702076154144169, block_time_us=92, runnable_time_us=506544, queued_time_us=81, on_cpu_time_us=167, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=2667415208985796, created_at_us=1702076154144403, block_time_us=355, runnable_time_us=499592, queued_time_us=135, on_cpu_time_us=218, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=2665216185730243, created_at_us=1702076154144277, block_time_us=199, runnable_time_us=497608, queued_time_us=116, on_cpu_time_us=186, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=2663017162474690, created_at_us=1702076154144169, block_time_us=278, runnable_time_us=499859, queued_time_us=130, on_cpu_time_us=222, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=2667415208985796, created_at_us=1702076154144403, block_time_us=132, runnable_time_us=497174, queued_time_us=88, on_cpu_time_us=145, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=2665216185730243, created_at_us=1702076154144277, block_time_us=100, runnable_time_us=491054, queued_time_us=79, on_cpu_time_us=130, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=2663017162474690, created_at_us=1702076154144169, block_time_us=177, runnable_time_us=501692, queued_time_us=84, on_cpu_time_us=157, yielding_time_us=0, died_at_us=0, preempt_count=0
