/usr/bin/sudo bazel-bin/fifo_per_cpu_agent --ghost_cpus 0-7 
Orca listening on port 8000...
Initializing...
Initialization complete, ghOSt active.
Received Metric. gtid=56778780458378467, created_at_us=1702070921097493, block_time_us=41, runnable_time_us=1381304, queued_time_us=71, on_cpu_time_us=35, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56780979481634020, created_at_us=1702070921097599, block_time_us=49, runnable_time_us=425266, queued_time_us=51, on_cpu_time_us=6, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56778780458378467, created_at_us=1702070921097493, block_time_us=0, runnable_time_us=641350, queued_time_us=34626, on_cpu_time_us=49, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56780979481634020, created_at_us=1702070921097599, block_time_us=0, runnable_time_us=1199176, queued_time_us=20780, on_cpu_time_us=11, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56778780458378467, created_at_us=1702070921097493, block_time_us=0, runnable_time_us=1343875, queued_time_us=57, on_cpu_time_us=24, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56780979481634020, created_at_us=1702070921097599, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56778780458378467, created_at_us=1702070921097493, block_time_us=0, runnable_time_us=671950, queued_time_us=27, on_cpu_time_us=20, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56780979481634020, created_at_us=1702070921097599, block_time_us=0, runnable_time_us=1883989, queued_time_us=11, on_cpu_time_us=1, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56778780458378467, created_at_us=1702070921097493, block_time_us=0, runnable_time_us=543925, queued_time_us=52, on_cpu_time_us=24, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56780979481634020, created_at_us=1702070921097599, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56778780458378467, created_at_us=1702070921097493, block_time_us=0, runnable_time_us=722860, queued_time_us=11, on_cpu_time_us=38, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56780979481634020, created_at_us=1702070921097599, block_time_us=0, runnable_time_us=1795747, queued_time_us=0, on_cpu_time_us=5, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56778780458378467, created_at_us=1702070921097493, block_time_us=0, runnable_time_us=717031, queued_time_us=36, on_cpu_time_us=20, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56780979481634020, created_at_us=1702070921097599, block_time_us=0, runnable_time_us=350299, queued_time_us=23, on_cpu_time_us=9, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56778780458378467, created_at_us=1702070921097493, block_time_us=0, runnable_time_us=1228259, queued_time_us=43, on_cpu_time_us=27, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56780979481634020, created_at_us=1702070921097599, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
