/usr/bin/sudo bazel-bin/fifo_per_cpu_agent --ghost_cpus 0-7 
Orca listening on port 8000...
Initializing...
Initialization complete, ghOSt active.
Received Metric. gtid=3076433534518654, created_at_us=1702076299981315, block_time_us=0, runnable_time_us=1185582, queued_time_us=32, on_cpu_time_us=20, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3078632557774207, created_at_us=1702076299981404, block_time_us=3, runnable_time_us=1157251, queued_time_us=85, on_cpu_time_us=16, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3080831581029760, created_at_us=1702076299981564, block_time_us=1, runnable_time_us=1142038, queued_time_us=45, on_cpu_time_us=9, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3076433534518654, created_at_us=1702076299981315, block_time_us=0, runnable_time_us=1089078, queued_time_us=16, on_cpu_time_us=16, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3078632557774207, created_at_us=1702076299981404, block_time_us=2, runnable_time_us=502289, queued_time_us=34, on_cpu_time_us=18, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3080831581029760, created_at_us=1702076299981564, block_time_us=1, runnable_time_us=1107829, queued_time_us=253, on_cpu_time_us=12, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3076433534518654, created_at_us=1702076299981315, block_time_us=0, runnable_time_us=687495, queued_time_us=20, on_cpu_time_us=23, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3078632557774207, created_at_us=1702076299981404, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3080831581029760, created_at_us=1702076299981564, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3076433534518654, created_at_us=1702076299981315, block_time_us=1, runnable_time_us=505156, queued_time_us=14, on_cpu_time_us=22, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3078632557774207, created_at_us=1702076299981404, block_time_us=0, runnable_time_us=1766953, queued_time_us=18, on_cpu_time_us=2, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3080831581029760, created_at_us=1702076299981564, block_time_us=2, runnable_time_us=1206917, queued_time_us=33, on_cpu_time_us=19, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3076433534518654, created_at_us=1702076299981315, block_time_us=1, runnable_time_us=727246, queued_time_us=2, on_cpu_time_us=17, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3078632557774207, created_at_us=1702076299981404, block_time_us=0, runnable_time_us=130330, queued_time_us=0, on_cpu_time_us=2, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3080831581029760, created_at_us=1702076299981564, block_time_us=0, runnable_time_us=53335, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3076433534518654, created_at_us=1702076299981315, block_time_us=0, runnable_time_us=979687, queued_time_us=35, on_cpu_time_us=27, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3078632557774207, created_at_us=1702076299981404, block_time_us=1, runnable_time_us=1437623, queued_time_us=26, on_cpu_time_us=14, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3080831581029760, created_at_us=1702076299981564, block_time_us=0, runnable_time_us=1579989, queued_time_us=14, on_cpu_time_us=7, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3076433534518654, created_at_us=1702076299981315, block_time_us=1, runnable_time_us=684196, queued_time_us=25, on_cpu_time_us=23, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3078632557774207, created_at_us=1702076299981404, block_time_us=0, runnable_time_us=416036, queued_time_us=8, on_cpu_time_us=1, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3080831581029760, created_at_us=1702076299981564, block_time_us=1, runnable_time_us=557844, queued_time_us=2, on_cpu_time_us=21, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3076433534518654, created_at_us=1702076299981315, block_time_us=0, runnable_time_us=857418, queued_time_us=32, on_cpu_time_us=21, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3078632557774207, created_at_us=1702076299981404, block_time_us=0, runnable_time_us=1305212, queued_time_us=33, on_cpu_time_us=9, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3080831581029760, created_at_us=1702076299981564, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
