/usr/bin/sudo bazel-bin/fifo_per_cpu_agent --ghost_cpus 0-7 
Orca listening on port 8000...
Initializing...
Initialization complete, ghOSt active.
Received SetScheduler. type=1, preemption_interval_us=-1
killing child process (pid=1770) ...
child (pid=1770) exited with status 0
/usr/bin/sudo bazel-bin/fifo_centralized_agent --ghost_cpus 0-7 
Core map
(  0 )	(  1 )	(  2 )	(  3 )	(  4 )	(  5 )	(  6 )	(  7 )

Initializing...
Initialization complete, ghOSt active.
Received Metric. gtid=3953843813484301, created_at_us=1702077874903553, block_time_us=8, runnable_time_us=19, queued_time_us=1, on_cpu_time_us=297, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3956042836739854, created_at_us=1702077874903639, block_time_us=0, runnable_time_us=70, queued_time_us=1, on_cpu_time_us=56504, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=3958241859995407, created_at_us=1702077874903752, block_time_us=0, runnable_time_us=40, queued_time_us=2, on_cpu_time_us=184297, yielding_time_us=0, died_at_us=0, preempt_count=3
Received Metric. gtid=3953843813484301, created_at_us=1702077874903553, block_time_us=0, runnable_time_us=38, queued_time_us=0, on_cpu_time_us=636168, yielding_time_us=0, died_at_us=0, preempt_count=2
Received Metric. gtid=3956042836739854, created_at_us=1702077874903639, block_time_us=0, runnable_time_us=7, queued_time_us=0, on_cpu_time_us=551845, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=3958241859995407, created_at_us=1702077874903752, block_time_us=1, runnable_time_us=28, queued_time_us=0, on_cpu_time_us=379953, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=3953843813484301, created_at_us=1702077874903553, block_time_us=0, runnable_time_us=23, queued_time_us=1, on_cpu_time_us=481010, yielding_time_us=1, died_at_us=0, preempt_count=2
Received Metric. gtid=3956042836739854, created_at_us=1702077874903639, block_time_us=1, runnable_time_us=10, queued_time_us=0, on_cpu_time_us=405665, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3958241859995407, created_at_us=1702077874903752, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3953843813484301, created_at_us=1702077874903553, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3956042836739854, created_at_us=1702077874903639, block_time_us=0, runnable_time_us=18, queued_time_us=0, on_cpu_time_us=294314, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=3958241859995407, created_at_us=1702077874903752, block_time_us=0, runnable_time_us=26, queued_time_us=1, on_cpu_time_us=772013, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=3953843813484301, created_at_us=1702077874903553, block_time_us=2, runnable_time_us=23, queued_time_us=0, on_cpu_time_us=634922, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=3956042836739854, created_at_us=1702077874903639, block_time_us=2, runnable_time_us=29, queued_time_us=0, on_cpu_time_us=504644, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=3958241859995407, created_at_us=1702077874903752, block_time_us=2, runnable_time_us=27, queued_time_us=1, on_cpu_time_us=488719, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=3953843813484301, created_at_us=1702077874903553, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3956042836739854, created_at_us=1702077874903639, block_time_us=0, runnable_time_us=10, queued_time_us=0, on_cpu_time_us=67303, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=3958241859995407, created_at_us=1702077874903752, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3953843813484301, created_at_us=1702077874903553, block_time_us=8, runnable_time_us=17, queued_time_us=1, on_cpu_time_us=502260, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3956042836739854, created_at_us=1702077874903639, block_time_us=7, runnable_time_us=49, queued_time_us=2, on_cpu_time_us=447951, yielding_time_us=0, died_at_us=0, preempt_count=2
Received Metric. gtid=3958241859995407, created_at_us=1702077874903752, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3953843813484301, created_at_us=1702077874903553, block_time_us=3, runnable_time_us=8, queued_time_us=0, on_cpu_time_us=94785, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3956042836739854, created_at_us=1702077874903639, block_time_us=6, runnable_time_us=22, queued_time_us=0, on_cpu_time_us=412468, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3958241859995407, created_at_us=1702077874903752, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3953843813484301, created_at_us=1702077874903553, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3956042836739854, created_at_us=1702077874903639, block_time_us=0, runnable_time_us=37, queued_time_us=0, on_cpu_time_us=547454, yielding_time_us=0, died_at_us=0, preempt_count=3
Received Metric. gtid=3958241859995407, created_at_us=1702077874903752, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3953843813484301, created_at_us=1702077874903553, block_time_us=0, runnable_time_us=30, queued_time_us=0, on_cpu_time_us=1290885, yielding_time_us=0, died_at_us=0, preempt_count=2
Received Metric. gtid=3956042836739854, created_at_us=1702077874903639, block_time_us=0, runnable_time_us=15, queued_time_us=1, on_cpu_time_us=351985, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=3958241859995407, created_at_us=1702077874903752, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3953843813484301, created_at_us=1702077874903553, block_time_us=0, runnable_time_us=14, queued_time_us=0, on_cpu_time_us=227983, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=3956042836739854, created_at_us=1702077874903639, block_time_us=0, runnable_time_us=12, queued_time_us=0, on_cpu_time_us=478414, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=3958241859995407, created_at_us=1702077874903752, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=3953843813484301, created_at_us=1702077874903553, block_time_us=0, runnable_time_us=12, queued_time_us=0, on_cpu_time_us=719983, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=3956042836739854, created_at_us=1702077874903639, block_time_us=0, runnable_time_us=28, queued_time_us=1, on_cpu_time_us=517556, yielding_time_us=0, died_at_us=0, preempt_count=2
Received Metric. gtid=3958241859995407, created_at_us=1702077874903752, block_time_us=0, runnable_time_us=35, queued_time_us=0, on_cpu_time_us=2783193, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=3953843813484301, created_at_us=1702077874903553, block_time_us=0, runnable_time_us=7, queued_time_us=0, on_cpu_time_us=747986, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=3956042836739854, created_at_us=1702077874903639, block_time_us=0, runnable_time_us=18, queued_time_us=1, on_cpu_time_us=699964, yielding_time_us=0, died_at_us=0, preempt_count=2
Received Metric. gtid=3958241859995407, created_at_us=1702077874903752, block_time_us=0, runnable_time_us=14, queued_time_us=0, on_cpu_time_us=699969, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=3953843813484301, created_at_us=1702077874903553, block_time_us=59, runnable_time_us=22, queued_time_us=1, on_cpu_time_us=74967, yielding_time_us=0, died_at_us=1702077880315119, preempt_count=0
Received Metric. gtid=3956042836739854, created_at_us=1702077874903639, block_time_us=56, runnable_time_us=21, queued_time_us=1, on_cpu_time_us=74965, yielding_time_us=0, died_at_us=1702077880315122, preempt_count=0
Received Metric. gtid=3958241859995407, created_at_us=1702077874903752, block_time_us=28, runnable_time_us=22, queued_time_us=1, on_cpu_time_us=102987, yielding_time_us=0, died_at_us=1702077880315123, preempt_count=0
