/usr/bin/sudo bazel-bin/fifo_per_cpu_agent --ghost_cpus 0-7 
Orca listening on port 8000...
Initializing...
Initialization complete, ghOSt active.
Received SetScheduler. type=1, preemption_interval_us=-1
killing child process (pid=26218) ...
child (pid=26218) exited with status 0
/usr/bin/sudo bazel-bin/fifo_centralized_agent --ghost_cpus 0-7 
Core map
(  0 )	(  1 )	(  2 )	(  3 )	(  4 )	(  5 )	(  6 )	(  7 )

Initializing...
Initialization complete, ghOSt active.
Received Metric. gtid=57717763388499598, created_at_us=1702071447021198, block_time_us=0, runnable_time_us=15, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57719962411755151, created_at_us=1702071447021318, block_time_us=0, runnable_time_us=6, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57717763388499598, created_at_us=1702071447021198, block_time_us=2, runnable_time_us=40, queued_time_us=1, on_cpu_time_us=485693, yielding_time_us=0, died_at_us=0, preempt_count=2
Received Metric. gtid=57719962411755151, created_at_us=1702071447021318, block_time_us=1, runnable_time_us=29, queued_time_us=1, on_cpu_time_us=485587, yielding_time_us=0, died_at_us=0, preempt_count=2
Received Metric. gtid=57717763388499598, created_at_us=1702071447021198, block_time_us=0, runnable_time_us=10, queued_time_us=0, on_cpu_time_us=159986, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=57719962411755151, created_at_us=1702071447021318, block_time_us=0, runnable_time_us=9, queued_time_us=0, on_cpu_time_us=32549, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=57717763388499598, created_at_us=1702071447021198, block_time_us=4, runnable_time_us=25, queued_time_us=1, on_cpu_time_us=261189, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=57719962411755151, created_at_us=1702071447021318, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57717763388499598, created_at_us=1702071447021198, block_time_us=1, runnable_time_us=54, queued_time_us=2, on_cpu_time_us=574712, yielding_time_us=1, died_at_us=0, preempt_count=2
Received Metric. gtid=57719962411755151, created_at_us=1702071447021318, block_time_us=0, runnable_time_us=41, queued_time_us=1, on_cpu_time_us=959407, yielding_time_us=2, died_at_us=0, preempt_count=2
Received Metric. gtid=57717763388499598, created_at_us=1702071447021198, block_time_us=0, runnable_time_us=22, queued_time_us=0, on_cpu_time_us=467463, yielding_time_us=0, died_at_us=0, preempt_count=2
Received Metric. gtid=57719962411755151, created_at_us=1702071447021318, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57717763388499598, created_at_us=1702071447021198, block_time_us=0, runnable_time_us=10, queued_time_us=0, on_cpu_time_us=552492, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=57719962411755151, created_at_us=1702071447021318, block_time_us=0, runnable_time_us=12, queued_time_us=0, on_cpu_time_us=959966, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=57717763388499598, created_at_us=1702071447021198, block_time_us=3, runnable_time_us=9, queued_time_us=0, on_cpu_time_us=107291, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57719962411755151, created_at_us=1702071447021318, block_time_us=6, runnable_time_us=39, queued_time_us=1, on_cpu_time_us=224006, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=57717763388499598, created_at_us=1702071447021198, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57719962411755151, created_at_us=1702071447021318, block_time_us=0, runnable_time_us=10, queued_time_us=0, on_cpu_time_us=284456, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=57717763388499598, created_at_us=1702071447021198, block_time_us=4, runnable_time_us=31, queued_time_us=0, on_cpu_time_us=884690, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=57719962411755151, created_at_us=1702071447021318, block_time_us=2, runnable_time_us=29, queued_time_us=0, on_cpu_time_us=291455, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=57717763388499598, created_at_us=1702071447021198, block_time_us=2, runnable_time_us=28, queued_time_us=0, on_cpu_time_us=424887, yielding_time_us=0, died_at_us=0, preempt_count=2
Received Metric. gtid=57719962411755151, created_at_us=1702071447021318, block_time_us=0, runnable_time_us=18, queued_time_us=0, on_cpu_time_us=731855, yielding_time_us=0, died_at_us=0, preempt_count=2
Received Metric. gtid=57717763388499598, created_at_us=1702071447021198, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57719962411755151, created_at_us=1702071447021318, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57717763388499598, created_at_us=1702071447021198, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57719962411755151, created_at_us=1702071447021318, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57717763388499598, created_at_us=1702071447021198, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57719962411755151, created_at_us=1702071447021318, block_time_us=2, runnable_time_us=34, queued_time_us=0, on_cpu_time_us=1000232, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=57717763388499598, created_at_us=1702071447021198, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=57719962411755151, created_at_us=1702071447021318, block_time_us=0, runnable_time_us=17, queued_time_us=0, on_cpu_time_us=283881, yielding_time_us=0, died_at_us=0, preempt_count=1
Received Metric. gtid=57717763388499598, created_at_us=1702071447021198, block_time_us=0, runnable_time_us=36, queued_time_us=1, on_cpu_time_us=1725248, yielding_time_us=0, died_at_us=0, preempt_count=3
Received Metric. gtid=57719962411755151, created_at_us=1702071447021318, block_time_us=0, runnable_time_us=0, queued_time_us=0, on_cpu_time_us=0, yielding_time_us=0, died_at_us=0, preempt_count=0
