/usr/bin/sudo bazel-bin/fifo_per_cpu_agent --ghost_cpus 0-7 
Orca listening on port 8000...
Initializing...
Initialization complete, ghOSt active.
Received Metric. gtid=56824959946745080, created_at_us=1702070945643521, block_time_us=424, runnable_time_us=501700, queued_time_us=134, on_cpu_time_us=145, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56827158970000633, created_at_us=1702070945643621, block_time_us=262, runnable_time_us=494501, queued_time_us=138, on_cpu_time_us=107, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56824959946745080, created_at_us=1702070945643521, block_time_us=124, runnable_time_us=504744, queued_time_us=50, on_cpu_time_us=82, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56827158970000633, created_at_us=1702070945643621, block_time_us=161, runnable_time_us=501732, queued_time_us=38, on_cpu_time_us=64, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56824959946745080, created_at_us=1702070945643521, block_time_us=131, runnable_time_us=499867, queued_time_us=35, on_cpu_time_us=65, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56827158970000633, created_at_us=1702070945643621, block_time_us=145, runnable_time_us=499959, queued_time_us=41, on_cpu_time_us=61, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56824959946745080, created_at_us=1702070945643521, block_time_us=182, runnable_time_us=502893, queued_time_us=48, on_cpu_time_us=76, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56827158970000633, created_at_us=1702070945643621, block_time_us=149, runnable_time_us=512116, queued_time_us=48, on_cpu_time_us=80, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56824959946745080, created_at_us=1702070945643521, block_time_us=183, runnable_time_us=503274, queued_time_us=55, on_cpu_time_us=87, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56827158970000633, created_at_us=1702070945643621, block_time_us=157, runnable_time_us=478391, queued_time_us=53, on_cpu_time_us=94, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56824959946745080, created_at_us=1702070945643521, block_time_us=215, runnable_time_us=511515, queued_time_us=71, on_cpu_time_us=106, yielding_time_us=0, died_at_us=0, preempt_count=0
Received Metric. gtid=56827158970000633, created_at_us=1702070945643621, block_time_us=134, runnable_time_us=534699, queued_time_us=58, on_cpu_time_us=102, yielding_time_us=0, died_at_us=0, preempt_count=0
